Publication date,URL,Publication date,Author Name,Image URL,Abstract,Abstract Length
2016-12-01,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-01-didaktikwerkstatt-englisch-oeffnet,01.12.2016,No author found.,No image found.,No abstract found.,0
2016-12-01,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-01-je-eher-desto-besser-linguisten-erforschen-fruehe-indikatoren-fuer-sprachentwicklungsst,01.12.2016,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/f/1/csm_DSC_5361_Karla_fritze_artikel_e801297337.jpg,"Der Wortschatz ist klein und nimmt nur langsam zu, Worte werden falsch ausgesprochen, grammatische Regeln nicht richtig angewandt – bei Kindern können diese und andere Symptome auf eine Sprachentwicklungsstörung (SES) hindeuten. Vor allem im Grund- und Vorschulalter macht sich eine SES bemerkbar. Doch es gibt Hinweise darauf, dass bereits viel früher – in den ersten Lebensmonaten – messbare Indikatoren für eine SES existieren. Forscher des im vergangenen Oktober gestarteten EU-Netzwerkprojekts „PredictAble“ forschen an der Früherkennung und widmen sich der Frage, welche gemeinsamen Hürden auf dem Weg des Spracherwerbs in verschiedenen Sprachen existieren.",663
2016-12-05,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-05-zehn-fragen-fuer-ein-buch-touring-katutura-poverty-tourism-and-poverty-tourism-in-windh,05.12.2016,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/1/f/csm_DSCN0516__2__malte_steinbrink_neues_646ddcc527.jpg,"Zehn Fragen für ein Buch – gestellt an Dr. Malte Steinbrink, Mitautor von „Touring Katutura! Poverty, Tourism, and Poverty Tourism in Windhoek, Namibia“. Universitätsverlag Potsdam, 2016.",187
2016-12-05,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-05-mit-norddeutschem-wissenschaftspreis-ausgezeichnet-ehrung-fuer-das-projekt-sprachvariat,05.12.2016,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/b/b/csm__MG_7328__2_Foto_Silke_Winkler_Artikel_7b894fcb1d.jpg,"Dem Forschungsprojekt “Sprachvariation in Norddeutschland“ (SiN) wurde der Norddeutsche Wissenschaftspreis zuerkannt. An dem von der Deutschen Forschungsgemeinschaft (DFG) von 2008-2012 geförderten sprachwissenschaftlichen Vorhaben waren Wissenschaftlerinnen und Wissenschaftler verschiedener Universitäten, darunter der Universität Potsdam, beteiligt. Im Potsdamer Teilprojekt untersuchte ein Team um den heutigen Emeritus Prof. Dr. Joachim Gessinger, damaliger Inhaber des Lehrstuhls für Geschichte der deutschen Sprache am Institut für Germanistik, die Wahrnehmung und Bewertung sprachlicher Varianz in alltäglichen Situationen. Der Preis ist mit insgesamt 100.000 Euro dotiert.",681
2016-12-05,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-05-wenn-das-ehrenamt-zur-ehrensache-wird-deutschlandstipendiatin-muazzamhon-abdurazokova-e,05.12.2016,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/1/d/csm_DSC_7666_Foto_Karla_Fritze_Artikel_8e303fc4ae.jpg,"Ob Naturschutz, Sport, soziales Engagement: Der jährlich am 5. Dezember begangene „Internationale Tag des Ehrenamtes“ ist den Millionen freiwilligen Helferinnen und Helfern in aller Welt gewidmet, die durch ihr Engagement in den verschiedensten Bereichen einen wichtigen Beitrag zum gesellschaftlichen Zusammenhalt leisten. Auch viele der aktuell 23 Deutschlandstipendiatinnen und –stipendiaten an der Universität Potsdam üben ein solches Ehrenamt aus. Muazzamhon Abdurazokova ist eine von ihnen.",496
2016-12-07,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-07-texte-geschuetzt-aenderungen-bei-der-digitalen-veroeffentlichung-urheberrechtlich-gesch,07.12.2016,No author found.,No image found.,"Bislang dürfen wissenschaftliche Texte in begrenztem Umfang für den Einsatz in Lehrveranstaltungen digital verbreitet werden – z.B. via Moodle oder passwortgeschützten Webseiten. Für diese Form der Zugänglichmachung gemäß § 52a UrhG war bislang durch die Bundesländer eine pauschale Vergütung an die für Texte zuständige Verwertungsgesellschaft VG Wort zu entrichten. Ab dem 1. Januar 2017 wird sich diese Praxis ändern. Dies bedeutet, dass ab dem 1. Januar 2017 bis auf Weiteres keine urheberrechtlich geschützten Dokumente oder Ausschnitte aus Dokumenten über Moodle, Box.UP, Campus.UP, FileBox, DropBox, Webseiten oder andere Wege digital verbreitet werden dürfen. Das Recht zur Zugänglichmachung in Papierform bleibt davon unberührt.",737
2016-12-07,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-07-wipcad-lecture-series-insurance-in-the-face-of-climate-change-private-sector-risk-trans,07.12.2016,No author found.,No image found.,No abstract found.,0
2016-12-08,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-08-mehr-klarheit-universitaet-potsdam-jetzt-mit-einheitlichen-verfahren-und-kriterien-zur-,08.12.2016,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/0/9/csm_DSC_7828_student_beim_international_day_foto_karla_fritze_neues_9ad55002ec.jpg,"Seit dem Wintersemester 2016/17 gelten an der Universität Potsdam einheitliche Verfahren zur Anerkennung von in- und ausländischen Studien- und Prüfungsleistungen sowie zur Anrechnung außerhochschulischer Kenntnisse und Fähigkeiten auf das Hochschulstudium. Zur Umsetzung der Lissabon-Konvention und der Anrechnungsbeschlüsse der Kultusministerkonferenz (KMK) wurden Leitfäden zur Anerkennung und Anrechnung erarbeitet und vom Senat verabschiedet. Die Vereinheitlichung der Verfahren und Kriterien soll dazu beitragen, die Praxis der Anerkennung und Anrechnung vor allem für die Studierenden transparent und nachvollziehbar zu machen, um somit beispielsweise die Auslandsmobilität zu erhöhen und den Übergang für beruflich Qualifizierte in die Hochschulbildung durchlässiger zu gestalten.",788
2016-12-14,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-14-wipcad-lecture-series-capacity-co-ordination-and-power-in-local-climate-policy-making-c,14.12.2016,No author found.,No image found.,No abstract found.,0
2016-12-14,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-14-die-vermessung-der-qualitaet-politikwissenschaftler-untersuchen-das-qualitaetsmanagemen,14.12.2016,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/f/e/csm_Seyfried_02_foto_karla_fritze_artikel_bdbce04215.jpg,"Der Begriff wirkt schwer greifbar und ist doch derzeit in aller Munde: Qualitätsmanagement im Hochschulbereich. Auch in Deutschland gibt es mittlerweile zahlreiche Zentren, Anlaufstellen, neu geschaffene Arbeitsgebiete und Instrumente in diesem Feld. Doch wie wirksam ist Qualitätsmanagement eigentlich? Haben die neuen Strukturen, die vielerorts entstanden sind, einen Effekt? Dieser Frage geht der Politikwissenschaftler Markus Seyfried nach und untersucht, wie Qualitätssicherungseinrichtungen an deutschen Hochschulen arbeiten und welchen Einfluss sie auf Lehre und Studium haben.",584
